WKT,Nome,Pais,Continente,Vertente principal,Subvertentes,Status
"POINT (-45.20952 -23.08043)",High Stage,Brasil,América do Sul,Hitech Psytrance,"Hitech, Darkpsy, Core",Ativo
"POINT (-45.178715 -23.078685)",Hitech Revolution,Brasil,América do Sul,Psytrance - multigênero,"Hitech, Darkpsy, Core",Ativo
"POINT (-44.845167 -21.060319)",Swampy Festival,Brasil,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-38.92635 -13.512251)",Universo Paralello,Brasil,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-52.07779 -28.78656)",Undervision Festival,Brasil,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-50.550707 -30.023123)",Earthdance Festival,Brasil,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-43.427707 -19.612239)",Pulsar Festival,Brasil,América do Sul,Darkpsy,"Hitech, Darkpsy, Core",Ativo
"POINT (-48.775212 -27.256784)",Festival Terrazul,Brasil,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-53.268706 -23.761119)",Elementorum Naturae,Brasil,América do Sul,Hitech Psytrance,"Full on, Prog, Night, Forest",Ativo
"POINT (-47.911257 -15.710742)",Zuvuya Festival,Brasil,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-49.279106 -16.542452)",Hipnótica Crew,Brasil,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-47.848644 -21.104368)",Makuna Festival,Brasil,América do Sul,Darkpsy,"Hitech, Darkpsy, Core",Ativo
"POINT (-48.822487 -25.47658)",Adhana Festival,Brasil,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-50.024575 -29.605478)",Origens Gathering,Brasil,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-63.898045 -9.094822)",Terra Oca,Brasil,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Inativo
"POINT (-35.202517 -8.359513)",Liquid Sky,Brasil,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Inativo
"POINT (-45.204391 -23.098494)",Naturaiz,Brasil,América do Sul,Psytrance - multigênero,"Darkpsy, Hitech, Core, Forest",Ativo
"POINT (-46.392073 -23.245285)",Pachamama Festival,Brasil,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-65.160572 -13.721316)",Jardim de Oz,Bolívia,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-62.77641 -17.065202)",Amazonas Andes Festival,Bolívia,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (102.947911 11.122385)",Sacred Aeon Festival,Cambodia,Ásia,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-105.595987 49.538639)",Eclipse Festival,Canadá,América do Norte,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-71.208 46.8139)",Eclipse Festival,Canadá,América do Norte,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-72.370865 47.013977)",Limitless Festival,Canadá,América do Norte,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-74.014819 48.375358)",Grooven Bass Festival,Canadá,América do Norte,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-79.38973 45.07101)",Mind Levitation,Canadá,América do Norte,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-85.192186 51.953908)",Ananta Gathering,Canadá,América do Norte,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-73.5259 11.209893)",Aluna Ritual,Colômbia,América do Sul,Darkpsy,"Hitech, Darkpsy, Core",Ativo
"POINT (-72.88202 -36.712002)",Hybrid Festival,Chile,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-71.020313 -32.814198)",Montemapu Festival,Chile,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Inativo
"POINT (-71.154979 -34.371561)",Ritual Xalpen,Chile,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-70.348073 -33.845702)",Quantum Fest,Chile,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-71.481953 -33.04224)",Multiverse Festival,Chile,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Inativo
"POINT (-70.906146 -33.51225)",Mimosa Festival,Chile,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (104.063824 30.849691)",Ligoor Spirit Festival,China,Ásia,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (121.508543 30.033724)",Shuangda Festival,China,Ásia,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-83.4021537 10.2183551)",Envision Festival,Costa Rica,América Central,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (15.4797019 45.2053353)",Mo.dem Festival,Croácia,Europa,Darkpsy,"Hitech, Darkpsy, Core",Ativo
"POINT (-78.122396 0.572869)",Forest Festival,Equador,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-6.448378 37.319755)",Global Tribe,Espanha,Europa,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-119.6982 34.4208)",Lucidity Festival,EUA,América do Norte,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-118.324689 34.528943)",Uforest Festival,EUA,América do Norte,Darkpsy,"Hitech, Darkpsy, Core",Ativo
